0.8513812662	7614
0.8510011420	9316
0.8509154584	16902
0.8492545610	16230
0.8458175571	11559
0.8457933945	9187
0.8451126068	8569
0.8434666893	14656
0.8434666893	1746
0.8426509579	2544
0.8411254107	12594
0.8411254107	10878
0.8410939649	20918
0.8407680623	19886
0.8393537595	8458
0.8385626553	14613
0.8370611248	4891
0.8369311000	29446
0.8368919664	5479
0.8360145206	8437
0.8354267101	11742
0.8345198829	8897
0.8341432283	14036
0.8338586290	8578
0.8335712922	9067
0.8324426034	8570
0.8322773696	8637
0.8321960753	8651
0.8321249882	9828
0.8316586472	15369
0.8315152492	8856
0.8315152492	8675
0.8314367779	13101
0.8308154480	7223
0.8304660695	4922
0.8303413025	12571
0.8302338108	1038
0.8301080340	22610
0.8292796665	9570
0.8292796665	9038
0.8278796505	8642
0.8275961620	10048
0.8273667070	15029
0.8266962206	9916
0.8266551689	8634
0.8250437269	8772
0.8242249158	9335
0.8228880662	11468
0.8227114154	6546
0.8221352877	16497
0.8218275479	5171
0.8217576887	18943
0.8214351459	18284
0.8211385942	4782
0.8209394669	3893
0.8206967551	21252
0.8205401126	10023
0.8195879193	11910
0.8194434532	7819
0.8192896805	8754
0.8189434020	10049
0.8182083574	1833
0.8179154937	7342
0.8177601968	11225
0.8176094871	2858
0.8172618056	11315
0.8172233677	2805
0.8166449078	8386
0.8166140513	3168
0.8166063304	8404
0.8165923156	15413
0.8160988598	9298
0.8159877720	7153
0.8157563677	8686
0.8156766210	8672
0.8154429247	15705
0.8153433550	5871
0.8146941863	5255
0.8145079601	18305
0.8144263649	8534
0.8144194805	10780
0.8140768100	5208
0.8138771533	9882
0.8137475171	7691
0.8134878332	5040
0.8134844277	13965
0.8130741399	13088
0.8130325511	20109
0.8130220746	6064
0.8129413926	19501
0.8118967504	5033
0.8116367709	9369
0.8105358316	11691
0.8096779659	16276
0.8094723307	14886
0.8093811541	9910
0.8089063858	23855
0.8087447186	11248
0.8087203323	7144
0.8085489657	7446
0.8082907069	936
0.8082062933	7146
0.8078923149	4805
0.8077328932	13169
0.8076091571	4796
0.8070919996	16273
0.8069031445	12863
0.8067261194	4813
0.8063709818	10514
0.8063176629	3719
0.8062759982	10709
0.8062440776	427
0.8057513101	1706
0.8057173311	20422
0.8057148044	11508
0.8056135883	18025
0.8054754622	1640
0.8054151493	17454
0.8051910818	7868
0.8051846823	7241
0.8051706154	13671
0.8045756685	14665
0.8044398169	7713
0.8041080712	5604
0.8040031224	2216
0.8032968495	1016
0.8032466800	4614
0.8028592963	17805
0.8020699401	1835
0.8017828113	15610
0.8012125921	6301
0.8011072350	11683
0.8010253148	5041
0.8007181078	4963
0.8003645659	5396
0.8003385722	10518
0.8003266516	5021
0.8002953218	1201
0.8002634941	5387
0.8002490163	1708
0.8000875844	7544
0.7998387753	3871
0.7995630855	8405
0.7995583434	9949
0.7988953590	11263
0.7987182216	5710
0.7984315891	8656
0.7978456561	15476
0.7976054563	6204
0.7964559174	5958
0.7963487659	4225
0.7963149642	6481
0.7962770856	8780
0.7962770856	31171
0.7962701371	22983
0.7961461298	9195
0.7957854575	4886
0.7956448544	3736
0.7952149363	16019
0.7949270586	1203
0.7944435896	8292
0.7943608447	18309
0.7940748446	5358
0.7938690956	10877
0.7931773395	11173
0.7928221018	8532
0.7923350322	4857
0.7921888888	5251
0.7921516940	6232
0.7919404419	10525
0.7919302042	13525
0.7916326974	4984
0.7914928488	6680
0.7912576974	8958
0.7910183253	6039
0.7909922580	4970
0.7907435876	8863
0.7897027176	6900
