0.9940695935	6042 7131
0.9936177530	8958 3333
0.9931049043	12358 12359
0.9930291906	7844 1003
0.9926582936	6204 6205
0.9922445725	10508 6094
0.9921882376	8953 8954
0.9921674043	3618 754
0.9917940033	6214 6216
0.9915781947	9882 11092 3928
0.9914849219	4076 4777
0.9914380038	1671 1640
0.9913371918	1568 6033
0.9911620999	1481 10241
0.9910532466	6030 10066
0.9910336489	7120 7121
0.9909368790	2499 4600
0.9909128013	2090 5615 2705
0.9908340210	6629 6680
0.9906739186	4936 3333
0.9904783540	6724 8844
0.9903715203	6931 9763
0.9903468529	11726 4547
0.9903455394	2165 7209
0.9902576085	7761 10045
0.9900139375	7109 11684
0.9898957342	5405 5247
0.9897938017	3235 1487
0.9897936343	1655 7611
0.9894815582	25164 3332
0.9893690055	4031 3312
0.9893546705	3941 5120
0.9893076200	8532 6232
0.9889924070	4647 4648
0.9889270256	1661 199
0.9888676129	5231 6470
0.9888333520	1024 1026
0.9887893454	5335 3763
0.9887421527	2297 2434 2297 8465
0.9886949223	7120 13095
0.9884984042	3038 7926
0.9884357486	3890 3312
0.9883571585	3486 27507
0.9883495980	13777 2705
0.9882399131	10845 10846
0.9882371239	1977 1382
0.9880325731	7241 2391
0.9879963270	4705 11803
0.9878889652	6565 3879
0.9878023850	2112 8522
0.9877559627	9184 9186
0.9877496042	435 16990
0.9877475821	1668 14313
0.9877416572	1668 5695
0.9877264677	6341 873
0.9876548145	530 8551
0.9876136792	6462 4751
0.9873452405	6002 4758
0.9872823867	5181 1487
0.9872054303	6629 2872
0.9871748508	1977 4980
0.9870485050	8596 3609
0.9870098930	14396 18930
0.9869814149	4154 1145
0.9866810836	3331 1487
0.9865937205	3151 4758
0.9865543680	2765 4225
0.9865299144	2705 1018
0.9864402383	5981 3040
0.9864015571	13591 5044
0.9863444387	8817 1018
0.9861418672	4043 5447
0.9861040188	6565 3581
0.9860495821	4679 3342
0.9859968707	821 4427
0.9859620511	4130 14142
0.9859574538	6852 6853
0.9858573228	304 1668
0.9855534947	1076 5162
0.9855521089	4553 315
0.9854858745	7959 1632
0.9854821981	9683 10255
0.9854537275	8684 5044
0.9854024904	5405 5406
0.9850838532	3026 3848
0.9850591115	6545 3486
